date,Temperature,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,windspead,windgusts_10m_max,shortwave_radiation,relative_humidity_2m_mean
2019-04-25,16.3,22.4,10.6,0.0,0.0,13.6,30.6,24.67,68
2019-04-26,15.2,18.7,12.1,0.5,0.5,20.9,40.0,20.36,74
2019-04-27,13.6,17.9,9.8,0.0,0.0,15.8,34.2,25.35,82
2019-04-28,13.5,18.3,7.5,0.0,0.0,20.5,42.8,26.05,79
2019-04-29,14.6,17.4,12.1,0.0,0.0,24.9,52.6,24.6,81
2019-04-30,14.2,17.5,10.6,0.0,0.0,21.9,47.5,25.13,78
2019-05-01,15.0,19.8,10.2,0.0,0.0,18.2,38.2,26.38,73
2019-05-02,16.0,20.6,11.8,5.6,5.6,22.2,49.3,18.01,78
2019-05-03,15.2,18.1,13.6,8.7,8.7,20.6,43.9,12.55,93
2019-05-04,14.3,16.5,10.4,2.1,2.1,20.2,42.8,21.66,79
2019-05-05,13.2,17.6,8.4,1.4,1.4,21.0,41.8,18.06,79
2019-05-06,14.6,18.7,9.3,0.0,0.0,14.3,33.5,25.91,74
2019-05-07,16.9,22.8,10.7,0.0,0.0,12.7,29.5,25.92,76
2019-05-08,18.5,25.9,11.9,0.0,0.0,16.2,34.2,26.32,64
2019-05-09,18.8,23.5,13.9,0.1,0.1,18.9,41.4,24.75,70
2019-05-10,18.8,25.1,13.0,0.0,0.0,10.8,26.6,25.95,74
2019-05-11,19.0,24.6,14.6,0.0,0.0,15.1,34.6,26.24,76
2019-05-12,17.1,19.6,13.9,0.0,0.0,25.0,50.8,26.86,72
2019-05-13,15.2,18.7,10.6,0.0,0.0,24.0,50.0,26.33,65
2019-05-14,15.0,19.6,9.7,0.0,0.0,13.3,33.5,26.82,70
2019-05-15,17.1,24.7,10.3,0.0,0.0,15.4,34.2,27.08,68
2019-05-16,16.9,21.0,13.4,0.0,0.0,18.2,40.3,26.7,78
2019-05-17,17.9,22.9,12.2,0.0,0.0,36.9,78.5,23.92,62
2019-05-18,16.2,20.9,12.1,1.5,1.5,15.1,34.2,18.0,78
2019-05-19,15.9,20.3,11.7,0.7,0.7,15.2,35.6,16.79,70
